Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
21,February,2,5,0,0,0,0,0,2,0,spiders and silk,MBF,,,,,,,,,,,,,,,,,,
21,February,2,4,1,0,1,0,0,3,0,3 baby spiders and eggs lots of silk all found in the seed,MBF,,,,,,,,,,,,,,,,,,
21,February,2,5,0,0,0,0,0,0,0,"silk, burr holes in cone",MBF,,,,,,,,,,,,,,,,,,
21,February,1,3.5,0,0,0,0,0,0,0,cone was very young with soft green center,MBF,,,,,,,,,,,,,,,,,,
18,February,3,4,0,0,0,0,0,0,0,cone was small and fell apart in the bag,MBF,,,,,,,,,,,,,,,,,,
18,February,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
18,February,3,3.5,0,0,0,0,0,0,0,2 nonviable seeds,MBF,,,,,,,,,,,,,,,,,,
18,February,2,4.5,0,0,0,0,0,0,0,silk,MBF,,,,,,,,,,,,,,,,,,
18,February,2,4,4,3,1,0,0,0,0,1 egg varrious beetle parts and frass in seeds,MBF,,,,,,,,,,,,,,,,,,
18,February,2,4,0,0,0,0,0,0,0,lots of sap,MBF,,,,,,,,,,,,,,,,,,
11,February,3,3,0,0,2,0,0,0,0,2 egg bundles,MBF,,,,,,,,,,,,,,,,,,
11,February,3,4,0,0,2,4,0,0,0,4 egg bundles,MBF,,,,,,,,,,,,,,,,,,
11,February,2,7,0,0,0,4,0,1,0,1 spider 2 winged green insect,MBF,,,,,,,,,,,,,,,,,,
11,February,2,4,1,0,2,0,0,2,0,2 spiders 2 nonviable seeds 2 egg bundles,MBF,,,,,,,,,,,,,,,,,,
11,February,2,5,4,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
11,February,1,3,1,2,0,0,1,0,1,"frass, 1 small orange catipiler?",MBF,,,,,,,,,,,,,,,,,,
12,February,3,4,0,0,0,0,0,2,0,2 spiders in egg bundels,MBF,,,,,,,,,,,,,,,,,,
12,February,3,3,0,0,2,2,0,0,0,2 spiders 2 small yellow/orange bugs 3 egg bundels,MBF,,,,,,,,,,,,,,,,,,
12,February,2,3,0,0,0,0,0,1,0,1 spider with egg nest,MBF,,,,,,,,,,,,,,,,,,
12,February,2,6,0,0,0,0,0,1,0,spider,MBF,,,,,,,,,,,,,,,,,,
12,February,1,5,0,13,0,0,1,1,0,"beetle parts, frass, spider leg, 1 yellow insect dry closed cone",MBF,,,,,,,,,,,,,,,,,,
12,February,1,6,8,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
13,February,1,3,0,0,0,0,0,0,0,young cone still developing,MBF,,,,,,,,,,,,,,,,,,
13,February,1,5,0,0,0,0,0,0,0,2 nonviable seeds,MBF,,,,,,,,,,,,,,,,,,
13,February,2,4,0,0,0,0,0,1,0,spider and egg nest,MBF,,,,,,,,,,,,,,,,,,
13,February,2,5,0,0,0,0,0,1,0,spider  ,MBF,,,,,,,,,,,,,,,,,,
13,February,3,4,0,0,0,0,0,0,0,,MBF,,,,,,,,,,,,,,,,,,
13,February,2,4,0,0,0,0,0,1,0,spider,MBF,,,,,,,,,,,,,,,,,,
14,February,3,5,0,0,0,0,0,0,0,Lots of silk on bottom  of cone,SI,,,,,,,,,,,,,,,,,,
14,February,3,4,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
14,February,3,5,0,0,0,0,0,1,0,spider,SI,,,,,,,,,,,,,,,,,,
14,February,2,4.5,1,0,0,0,0,0,0,Non viable seed,SI,,,,,,,,,,,,,,,,,,
14,February,2,4,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
14,February,1,3.5,0,0,1,0,0,0,0,lots of frass and silk internally. No insect found,SI,,,,,,,,,,,,,,,,,,
15,February,1,2.5,0,2,0,0,0,0,0,Frass and silk!,SI,,,,,,,,,,,,,,,,,,
15,February,2,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
